-5 	 0.00656232 	 0.00669285
-4.9 	 0.00724711 	 0.00739154
-4.8 	 0.00800275 	 0.00816257
-4.7 	 0.00883169 	 0.0090133
-4.6 	 0.00973758 	 0.0099518
-4.5 	 0.0107277 	 0.0109869
-4.4 	 0.0118141 	 0.0121284
-4.3 	 0.0130132 	 0.0133869
-4.2 	 0.0143443 	 0.014774
-4.1 	 0.0158287 	 0.0163025
-4 	 0.0174871 	 0.0179862
-3.9 	 0.0193385 	 0.0198403
-3.8 	 0.0213995 	 0.0218813
-3.7 	 0.0236841 	 0.024127
-3.6 	 0.0262042 	 0.026597
-3.5 	 0.0289712 	 0.0293122
-3.4 	 0.0319979 	 0.0322955
-3.3 	 0.0353001 	 0.0355712
-3.2 	 0.0388984 	 0.0391657
-3.1 	 0.0428195 	 0.0431073
-3 	 0.0470963 	 0.0474259
-2.9 	 0.0517678 	 0.0521536
-2.8 	 0.0568776 	 0.0573242
-2.7 	 0.0624724 	 0.0629734
-2.6 	 0.0685997 	 0.0691384
-2.5 	 0.075306 	 0.0758582
-2.4 	 0.0826347 	 0.0831727
-2.3 	 0.0906256 	 0.091123
-2.2 	 0.0993143 	 0.0997505
-2.1 	 0.108732 	 0.109097
-2 	 0.118909 	 0.119203
-1.9 	 0.129873 	 0.130108
-1.8 	 0.14165 	 0.141851
-1.7 	 0.154269 	 0.154465
-1.6 	 0.167759 	 0.167982
-1.5 	 0.182149 	 0.182426
-1.4 	 0.197466 	 0.197816
-1.3 	 0.213734 	 0.214165
-1.2 	 0.230969 	 0.231475
-1.1 	 0.249178 	 0.24974
-1 	 0.268352 	 0.268941
-0.9 	 0.288468 	 0.28905
-0.8 	 0.309487 	 0.310026
-0.7 	 0.33135 	 0.331812
-0.6 	 0.353981 	 0.354344
-0.5 	 0.377286 	 0.377541
-0.4 	 0.401161 	 0.401312
-0.3 	 0.425489 	 0.425557
-0.2 	 0.450145 	 0.450166
-0.1 	 0.475001 	 0.475021
-1.02696e-15 	 0.49993 	 0.5
0.1 	 0.524806 	 0.524979
0.2 	 0.549508 	 0.549834
0.3 	 0.573925 	 0.574443
0.4 	 0.597951 	 0.598688
0.5 	 0.621492 	 0.622459
0.6 	 0.644465 	 0.645656
0.7 	 0.666795 	 0.668188
0.8 	 0.68842 	 0.689974
0.9 	 0.709284 	 0.71095
1 	 0.729343 	 0.731059
1.1 	 0.748562 	 0.75026
1.2 	 0.766911 	 0.768525
1.3 	 0.784369 	 0.785835
1.4 	 0.800924 	 0.802184
1.5 	 0.816566 	 0.817574
1.6 	 0.831294 	 0.832018
1.7 	 0.845112 	 0.845535
1.8 	 0.858029 	 0.858149
1.9 	 0.870059 	 0.869892
2 	 0.881222 	 0.880797
2.1 	 0.891541 	 0.890903
2.2 	 0.901044 	 0.90025
2.3 	 0.909764 	 0.908877
2.4 	 0.917737 	 0.916827
2.5 	 0.925003 	 0.924142
2.6 	 0.931605 	 0.930862
2.7 	 0.937588 	 0.937027
2.8 	 0.943002 	 0.942676
2.9 	 0.947894 	 0.947846
3 	 0.952316 	 0.952574
3.1 	 0.956318 	 0.956893
3.2 	 0.959949 	 0.960834
3.3 	 0.963258 	 0.964429
3.4 	 0.966292 	 0.967705
3.5 	 0.969092 	 0.970688
3.6 	 0.971699 	 0.973403
3.7 	 0.974145 	 0.975873
3.8 	 0.976459 	 0.978119
3.9 	 0.978663 	 0.98016
4 	 0.980773 	 0.982014
4.1 	 0.982795 	 0.983698
4.2 	 0.984729 	 0.985226
4.3 	 0.986567 	 0.986613
4.4 	 0.988292 	 0.987872
4.5 	 0.989879 	 0.989013
4.6 	 0.991297 	 0.990048
4.7 	 0.992504 	 0.990987
4.8 	 0.993453 	 0.991837
4.9 	 0.994092 	 0.992608
5 	 0.994363 	 0.993307
